ordercode,productcode,quantity,discount
4579,1441,2,0.12
4579,1225,5,0.08
4580,1394,10,0.1
4580,1151,1,0.02
4580,725,5,0.0
4580,1078,6,0.02
4580,485,5,0.16
4580,1484,6,0.19
4581,1956,4,0.1
4581,816,1,0.05
4581,473,9,0.1
4581,1504,2,0.01
4581,986,8,0.16
4581,1915,4,0.2
4581,335,3,0.04
4581,16,7,0.05
4581,777,7,0.17
4581,31,1,0.12
4582,61,10,0.04
4582,1404,8,0.05
4582,311,3,0.06
4582,1654,9,0.14
4582,458,10,0.18
4582,1024,6,0.09
4582,524,4,0.16
4582,283,7,0.09
4582,1529,7,0.14
4583,1207,8,0.14
4583,1447,10,0.12
4583,417,6,0.12
4584,1131,4,0.03
4584,955,7,0.07
4584,1309,1,0.05
4585,761,9,0.02
4585,13,4,0.14
4585,327,4,0.2
4585,1095,1,0.18
4585,290,5,0.17
4585,831,4,0.17
4585,898,1,0.18
4585,1169,3,0.03
4585,351,4,0.17
4585,18,6,0.19
4586,835,4,0.09
4587,557,6,0.05
4587,519,8,0.12
4587,508,9,0.04
4587,1255,10,0.11
4587,1469,5,0.06
4588,1629,10,0.15
4588,460,7,0.17
4589,1519,7,0.2
4589,864,6,0.05
4590,588,4,0.09
4590,1124,9,0.11
4590,1521,6,0.17
4590,650,10,0.13
4590,1174,8,0.15
4590,911,6,0.18
4590,1056,9,0.03
4590,1989,4,0.02
4591,171,2,0.01
4591,750,4,0.05
4591,905,6,0.06
4591,550,3,0.16
4591,1670,6,0.19
4591,930,9,0.18
4592,1644,4,0.08
4592,843,2,0.07
4593,1510,9,0.05
4593,862,1,0.12
4593,505,9,0.03
4593,1843,4,0.01
4593,691,7,0.02
4594,580,4,0.07
4594,239,4,0.11
4594,614,9,0.18
4594,1542,7,0.08
4594,1829,2,0.15
4594,1075,10,0.02
4594,568,2,0.02
4594,1295,9,0.14
4594,406,3,0.17
4595,858,8,0.13
4595,683,2,0.12
4595,1009,10,0.15
4595,125,5,0.14
4595,363,4,0.07
4595,1514,2,0.07
4595,1605,8,0.17
4595,1260,7,0.18
4595,1954,10,0.2
4596,501,1,0.19
4596,413,1,0.05
4596,871,5,0.16
4596,633,3,0.06
4596,694,1,0.18
4596,1554,8,0.01
4596,236,7,0.08
4596,839,5,0.12
4596,1538,1,0.1
4597,1531,9,0.11
4597,419,10,0.01
4597,1234,1,0.04
4597,1923,1,0.19
4597,816,3,0.0
4597,829,4,0.1
4597,354,8,0.14
4597,1097,8,0.14
4597,668,8,0.05
4597,1133,6,0.1
4598,595,1,0.08
4598,331,1,0.05
4598,1977,4,0.03
4599,320,7,0.01
4600,1845,1,0.08
4600,802,10,0.13
4600,894,7,0.1
4600,1923,8,0.04
4600,189,9,0.12
4601,1037,1,0.15
4601,747,8,0.14
4601,407,1,0.13
4601,257,10,0.13
4601,1728,10,0.16
4601,1807,2,0.12
4601,727,2,0.03
4602,1185,6,0.07
4602,1371,3,0.13
4602,1574,2,0.18
4602,229,6,0.16
4602,404,7,0.01
4602,370,10,0.02
4602,1145,5,0.11
4602,1449,10,0.11
4603,1896,3,0.03
4603,538,9,0.12
4603,1271,5,0.13
4603,352,9,0.08
4603,981,2,0.13
4603,779,6,0.19
4603,254,3,0.06
4603,471,7,0.04
4603,653,10,0.06
4603,1951,6,0.1
4604,1335,2,0.03
4604,513,1,0.16
4604,242,6,0.13
4604,1071,1,0.02
4605,153,3,0.05
4605,542,5,0.16
4605,1342,5,0.09
4605,676,1,0.09
4605,1828,7,0.09
4605,855,4,0.06
4605,1016,8,0.06
4605,1750,7,0.12
4605,59,7,0.08
4605,1805,1,0.12
4606,1605,3,0.1
4606,1244,10,0.1
4606,469,3,0.01
4606,1161,5,0.12
4606,1048,1,0.08
4606,1258,8,0.07
4606,1982,2,0.01
4606,90,2,0.02
4607,1060,3,0.07
4607,397,1,0.19
4607,777,4,0.08
4607,1426,4,0.03
4607,701,8,0.0
4607,1955,4,0.04
4607,460,5,0.18
4607,1742,6,0.11
4608,200,2,0.03
4608,954,1,0.12
4608,1253,8,0.18
4608,273,3,0.02
4608,976,6,0.05
4608,137,9,0.16
4608,1881,3,0.1
4609,280,8,0.02
4609,1952,4,0.12
4610,1572,3,0.19
4610,1357,4,0.19
4610,1632,4,0.01
4611,132,4,0.01
4611,1735,5,0.18
4611,1995,8,0.0
4611,1401,4,0.05
4611,1956,6,0.08
4611,503,8,0.05
4611,145,4,0.06
4612,585,9,0.12
4613,1474,6,0.03
4613,1125,8,0.11
4613,1661,1,0.18
4613,1982,7,0.05
4613,997,5,0.01
4613,114,3,0.07
4613,328,3,0.08
4613,1531,10,0.07
4613,1060,1,0.07
4614,1914,5,0.08
4614,779,5,0.13
4615,766,10,0.0
4615,601,6,0.16
4615,1889,3,0.15
4616,1080,10,0.08
4616,1074,8,0.19
4616,1489,6,0.14
4616,1908,2,0.13
4616,1334,3,0.18
4616,1096,7,0.03
4616,6,9,0.2
4617,554,4,0.15
4617,662,7,0.19
4617,1996,8,0.12
4617,1393,7,0.1
4617,191,6,0.18
4617,1706,8,0.0
4617,1128,9,0.01
4617,1205,3,0.06
4618,1140,8,0.1
4618,225,8,0.01
4618,324,3,0.09
4618,724,4,0.12
4618,1772,2,0.12
4619,1399,6,0.12
4619,1812,8,0.13
4619,168,2,0.15
4619,1795,3,0.01
4619,1144,6,0.04
4619,1233,2,0.16
4619,1592,8,0.15
4620,269,8,0.03
4620,1139,8,0.15
4620,218,8,0.1
4620,1302,8,0.0
4620,1684,4,0.14
4620,1746,9,0.08
4620,577,6,0.08
4620,638,10,0.13
4621,763,2,0.09
4621,918,10,0.17
4621,93,3,0.16
4621,1049,5,0.05
4621,621,5,0.18
4621,933,3,0.0
4621,1730,1,0.08
4621,984,3,0.09
4621,932,3,0.15
4621,229,2,0.02
4622,1223,10,0.02
4622,711,9,0.05
4622,1660,6,0.19
4622,1230,7,0.03
4622,1676,10,0.18
4622,240,9,0.15
4622,9,7,0.16
4623,1982,7,0.03
4623,528,2,0.19
4624,88,6,0.12
4624,1208,2,0.14
4624,1212,4,0.01
4624,253,2,0.13
4624,317,5,0.1
4624,892,8,0.08
4624,1539,1,0.01
4624,11,9,0.12
4624,1105,4,0.09
4624,1341,2,0.08
4625,1540,4,0.01
4625,252,6,0.19
4625,436,3,0.08
4625,19,6,0.16
4625,752,2,0.01
4625,1435,5,0.17
4625,157,4,0.19
4625,1060,10,0.18
4625,501,2,0.06
4625,131,3,0.01
4626,186,4,0.13
4626,972,6,0.14
4626,1171,1,0.12
4626,1212,7,0.12
4626,1714,9,0.06
4626,453,8,0.11
4626,1848,4,0.13
4627,1829,1,0.1
4627,176,6,0.03
4627,566,5,0.12
4627,1454,10,0.13
4627,1902,8,0.14
4627,1218,5,0.15
4627,1972,4,0.1
4627,1564,8,0.01
4627,1501,4,0.05
4628,832,8,0.01
4628,319,2,0.11
4628,805,8,0.09
4628,709,5,0.18
4628,1838,3,0.01
4629,726,2,0.0
4629,1572,2,0.03
4629,1877,7,0.04
4629,1524,4,0.13
4630,908,6,0.17
4630,1530,4,0.17
4630,1344,2,0.16
4631,1289,5,0.14
4632,1614,2,0.03
4632,1043,1,0.16
4632,656,8,0.13
4632,21,7,0.05
4632,346,6,0.19
4632,1914,4,0.03
4632,1140,3,0.11
4632,1352,4,0.13
4632,524,6,0.13
4633,984,2,0.04
4633,968,9,0.14
4633,129,1,0.0
4633,947,6,0.2
4633,1485,7,0.0
4633,1901,8,0.14
4633,1095,1,0.11
4633,409,10,0.2
4634,1895,4,0.14
4634,818,2,0.12
4634,1235,6,0.07
4634,670,10,0.02
4635,955,4,0.01
4635,840,6,0.15
4635,118,7,0.12
4635,784,1,0.13
4636,625,6,0.19
4636,1237,3,0.14
4636,287,9,0.04
4636,1197,5,0.15
4636,512,10,0.14
4637,1880,2,0.17
4637,1986,1,0.09
4637,999,10,0.03
4637,1996,3,0.01
4637,25,8,0.02
4637,1127,7,0.09
4637,1710,2,0.12
4637,50,5,0.16
4637,280,4,0.09
4638,1809,8,0.18
4639,1467,3,0.1
4639,366,10,0.15
4639,329,10,0.13
4639,507,8,0.07
4639,879,3,0.14
4639,1054,9,0.15
4639,928,3,0.19
4639,360,1,0.13
4639,646,5,0.05
4639,1811,10,0.19
4640,40,8,0.11
4640,480,6,0.15
4640,489,5,0.02
4640,1540,7,0.14
4640,1991,4,0.1
4640,1156,3,0.15
4640,1334,4,0.04
4640,4,7,0.11
4641,1626,1,0.12
4641,1295,10,0.2
4641,1811,6,0.09
4641,1207,1,0.0
4641,945,2,0.14
4641,1287,10,0.02
4642,1022,6,0.09
4642,1446,6,0.04
4642,462,5,0.19
4642,449,10,0.0
4642,1641,9,0.13
4642,324,4,0.11
4642,1379,4,0.01
4642,1905,3,0.04
4642,542,3,0.14
4642,374,1,0.11
4643,1877,10,0.18
4643,714,6,0.14
4643,420,6,0.1
4643,1059,10,0.2
4643,1942,1,0.16
4643,407,8,0.18
4643,515,8,0.17
4644,1376,6,0.13
4644,687,6,0.08
4644,931,9,0.04
4644,1105,8,0.15
4644,1206,1,0.17
4645,1517,3,0.13
4645,330,1,0.07
4645,234,1,0.08
4646,756,9,0.08
4646,603,9,0.16
4646,1415,1,0.04
4646,929,7,0.16
4646,69,6,0.1
4647,1932,4,0.14
4647,990,7,0.03
4647,556,5,0.07
4647,669,1,0.02
4647,1969,1,0.07
4647,403,7,0.06
4647,1048,2,0.17
4648,862,4,0.17
4648,1047,4,0.16
4648,792,2,0.16
4648,865,2,0.15
4648,659,3,0.18
4649,922,5,0.07
4649,713,3,0.2
4649,810,6,0.05
4649,1885,10,0.18
4649,1528,8,0.07
4649,1635,2,0.0
4649,1224,4,0.11
4650,762,6,0.06
4650,1903,9,0.0
4650,855,5,0.19
4650,981,9,0.11
4650,302,6,0.09
4650,1566,1,0.17
4650,1371,9,0.16
4650,1217,6,0.01
4650,337,10,0.19
4650,1082,3,0.09
4651,1787,6,0.02
4651,1189,1,0.1
4651,724,2,0.16
4651,1547,10,0.2
4651,1845,6,0.06
4651,983,6,0.05
4651,960,9,0.17
4651,1962,8,0.08
4652,1177,8,0.09
4652,392,8,0.12
4652,1497,7,0.17
4652,622,2,0.03
4652,331,2,0.15
4652,615,8,0.07
4652,1200,2,0.16
4653,794,5,0.03
4653,1161,6,0.04
4653,259,4,0.03
4653,282,5,0.11
4654,974,8,0.09
4654,77,7,0.16
4655,577,5,0.1
4655,1646,1,0.0
4655,1224,4,0.14
4655,1351,6,0.02
4655,1261,6,0.06
4655,574,6,0.15
4655,200,1,0.07
4655,1095,6,0.17
4655,1631,7,0.0
4656,1777,7,0.06
4657,1416,3,0.04
4657,1271,3,0.04
4657,627,5,0.15
4657,870,2,0.18
4657,933,9,0.09
4657,1890,7,0.07
4657,1847,9,0.07
4657,1081,1,0.0
4658,1513,4,0.05
4658,677,6,0.06
4658,625,10,0.15
4658,1072,6,0.14
4658,545,9,0.08
4658,30,2,0.07
4658,963,5,0.02
4658,436,4,0.15
4658,1448,2,0.18
4658,331,5,0.19
4659,1746,10,0.09
4659,1957,1,0.0
4659,1578,8,0.04
4659,368,2,0.01
4659,1966,10,0.19
4659,1642,3,0.09
4659,1996,9,0.13
4660,1292,4,0.02
4660,1039,4,0.12
4660,1931,8,0.05
4660,1074,6,0.01
4660,1151,6,0.2
4660,120,6,0.2
4660,1195,8,0.18
4660,272,8,0.19
4660,182,8,0.04
4661,6,5,0.15
4661,1269,8,0.1
4661,1021,10,0.08
4661,414,5,0.1
4661,1757,1,0.06
4661,1400,9,0.1
4661,1502,3,0.16
4662,701,9,0.18
4662,1130,3,0.16
4662,111,8,0.0
4662,1466,6,0.14
4662,1622,10,0.14
4662,769,6,0.12
4662,1825,10,0.02
4662,583,1,0.14
4662,680,2,0.15
4663,1479,7,0.15
4663,1594,9,0.07
4664,1419,10,0.13
4664,459,4,0.05
4664,260,3,0.05
4664,309,2,0.08
4664,1760,1,0.13
4664,49,5,0.03
4664,362,9,0.01
4664,956,8,0.08
4664,1311,1,0.17
4665,157,2,0.07
4665,283,4,0.17
4665,1777,6,0.2
4665,62,4,0.13
4665,318,1,0.08
4665,1607,9,0.12
4665,342,8,0.0
4665,1438,4,0.09
4665,1791,10,0.12
4666,1675,5,0.14
4666,189,2,0.01
4666,474,8,0.06
4666,946,10,0.08
4666,1643,8,0.15
4666,1040,9,0.14
4666,286,3,0.03
4667,587,2,0.2
4668,675,4,0.14
4668,1543,2,0.11
4669,568,9,0.02
4669,195,1,0.15
4669,1612,8,0.02
4669,1369,10,0.19
4669,860,6,0.12
4669,1326,5,0.11
4669,1746,3,0.04
4669,1458,5,0.07
4670,256,3,0.13
4670,759,8,0.04
4670,1805,6,0.08
4670,1642,4,0.12
4670,704,7,0.03
4670,513,4,0.07
4670,1310,3,0.08
4671,208,7,0.06
4671,733,5,0.03
4671,1261,10,0.09
4672,1703,4,0.08
4672,17,3,0.13
4672,422,8,0.19
4672,1008,9,0.01
4672,1424,6,0.02
4672,672,1,0.11
4673,964,10,0.04
4673,1826,10,0.16
4673,132,8,0.09
4673,585,10,0.05
4674,734,4,0.04
4674,1103,6,0.06
4674,590,1,0.14
4674,323,8,0.12
4674,1381,5,0.0
4674,1088,4,0.03
4674,402,1,0.13
4674,1017,6,0.07
4675,1325,7,0.14
4675,21,1,0.09
4675,672,9,0.07
4675,1304,8,0.06
4675,960,5,0.05
4675,1741,1,0.13
4676,533,1,0.02
4676,316,10,0.01
4676,1894,7,0.13
4676,1545,7,0.08
4676,1950,9,0.1
4676,1405,1,0.14
4676,287,9,0.2
4676,625,6,0.17
4676,1251,4,0.02
4677,1486,10,0.05
4677,836,4,0.13
4677,914,1,0.18
4677,159,6,0.11
4677,901,7,0.15
4677,172,2,0.0
4678,173,1,0.09
4678,62,6,0.01
4678,1079,5,0.15
4678,1958,8,0.2
4678,156,7,0.13
4678,1453,6,0.11
4679,1045,4,0.18
4679,517,7,0.18
4679,1438,8,0.15
4679,1507,1,0.07
4680,479,3,0.18
4680,262,8,0.08
4680,1826,9,0.19
4680,88,7,0.01
4680,1764,2,0.19
4680,243,5,0.08
4680,1439,10,0.13
4680,630,3,0.18
4681,1139,10,0.02
4681,258,9,0.14
4681,1711,5,0.19
4681,141,8,0.14
4681,834,9,0.15
4681,1523,5,0.09
4681,1982,2,0.07
4681,202,6,0.04
4681,128,3,0.11
4681,707,10,0.09
4682,1433,10,0.15
4682,1941,9,0.02
4682,1625,3,0.14
4682,1522,8,0.1
4682,1410,10,0.08
4682,608,5,0.18
4682,1643,2,0.05
4682,622,3,0.01
4682,427,4,0.18
4682,1665,2,0.12
4683,211,2,0.12
4683,110,2,0.12
4683,974,4,0.14
4683,774,10,0.1
4683,896,1,0.2
4684,1382,9,0.17
4684,430,6,0.17
4685,837,6,0.1
4685,1286,8,0.19
4685,1319,10,0.16
4685,34,6,0.13
4685,1537,7,0.1
4685,293,6,0.09
4685,718,3,0.08
4685,1849,10,0.17
4685,33,2,0.18
4685,9,2,0.11
4686,1512,4,0.05
4686,1679,9,0.18
4686,1810,9,0.09
4686,590,6,0.1
4687,585,7,0.2
4687,1082,9,0.19
4687,1679,10,0.11
4687,1100,2,0.12
4687,1715,3,0.06
4687,1100,8,0.12
4687,1257,7,0.15
4687,1162,3,0.05
4688,1608,10,0.01
4688,47,4,0.06
4688,1981,2,0.03
4688,1364,6,0.17
4688,1394,6,0.04
4689,1668,8,0.07
4689,273,7,0.08
4690,541,10,0.19
4691,92,10,0.13
4691,1581,1,0.08
4691,1692,6,0.12
4691,1912,5,0.07
4691,302,3,0.01
4691,1075,9,0.16
4692,1341,5,0.13
4692,1716,10,0.01
4693,113,8,0.12
4693,1589,10,0.06
4693,1152,9,0.11
4694,811,5,0.02
4694,39,2,0.06
4694,584,7,0.2
4694,327,3,0.03
4694,1093,2,0.0
4694,658,3,0.16
4694,293,10,0.18
4694,1620,3,0.08
4694,1797,5,0.07
4695,1537,9,0.16
4695,1350,8,0.17
4695,1029,10,0.2
4695,1489,1,0.1
4695,65,7,0.17
4696,548,10,0.04
4696,1838,8,0.13
4697,1820,3,0.19
4697,1877,7,0.1
4697,263,6,0.02
4697,1410,1,0.12
4697,357,2,0.02
4697,95,5,0.11
4697,1978,1,0.17
4698,1044,6,0.07
4698,1663,6,0.08
4698,277,8,0.2
4699,901,2,0.02
4699,1614,9,0.19
4699,1042,4,0.19
4699,1872,6,0.09
4699,1258,4,0.08
4699,35,1,0.02
4699,1277,3,0.13
4700,200,3,0.07
4700,2,3,0.18
4700,772,7,0.02
4700,1044,1,0.09
4700,1985,4,0.13
4700,546,2,0.09
4700,1126,1,0.11
4701,156,5,0.05
4701,1439,5,0.04
4701,1947,8,0.16
4701,1999,1,0.19
4701,502,4,0.13
4702,1552,6,0.15
4702,930,9,0.0
4702,1548,1,0.1
4702,492,8,0.0
4702,1927,1,0.19
4703,729,3,0.04
4703,482,4,0.16
4703,1206,2,0.19
4703,796,7,0.06
4703,695,1,0.13
4703,462,8,0.11
4703,1111,6,0.01
4703,504,3,0.11
4703,804,4,0.12
4704,101,4,0.18
4705,553,4,0.03
4705,875,10,0.16
4705,1906,5,0.05
4705,259,7,0.13
4705,17,2,0.0
4705,1025,1,0.07
4705,332,10,0.17
4705,9,8,0.14
4706,1455,3,0.06
4706,1980,2,0.13
4706,1498,2,0.1
4706,1204,6,0.04
4706,117,10,0.12
4706,1693,1,0.01
4706,1035,2,0.01
4706,1200,7,0.19
4706,1019,8,0.01
4706,1646,7,0.02
4707,212,9,0.03
4707,1529,8,0.08
4707,1890,1,0.09
4707,610,3,0.09
4707,12,7,0.12
4707,1992,6,0.03
4707,1452,5,0.18
4707,1422,4,0.13
4707,768,6,0.12
4707,1229,2,0.19
4708,423,8,0.08
4708,528,4,0.04
4708,842,7,0.17
4708,2,2,0.07
4708,1381,5,0.18
4709,1809,4,0.16
4710,1672,6,0.04
4710,924,6,0.03
4710,94,5,0.08
4710,893,8,0.06
4710,869,4,0.03
4710,1107,6,0.06
4710,715,9,0.02
4711,1907,2,0.08
4711,1832,1,0.16
4711,1012,2,0.01
4711,1391,9,0.16
4711,814,1,0.15
4711,822,10,0.13
4711,561,2,0.18
4711,1683,3,0.13
4711,258,7,0.14
4712,1139,9,0.1
4712,623,10,0.03
4712,855,5,0.08
4712,367,9,0.17
4712,575,2,0.19
4712,1431,4,0.02
4713,744,10,0.14
4713,322,6,0.05
4713,764,9,0.13
4713,446,9,0.01
4713,1602,8,0.14
4713,1009,1,0.1
4714,316,7,0.03
4714,1610,1,0.07
4714,1477,6,0.14
4714,1122,10,0.17
4714,1504,4,0.14
4714,1676,8,0.06
4714,988,8,0.01
4714,1535,2,0.16
4715,1262,9,0.16
4716,265,5,0.13
4716,748,3,0.11
4717,513,7,0.05
4717,1057,7,0.19
4718,1551,7,0.07
4718,782,3,0.09
4718,1227,7,0.02
4719,1588,10,0.09
4719,1072,3,0.02
4719,1361,2,0.14
4719,1425,9,0.16
4719,423,1,0.18
4719,980,1,0.0
4720,930,1,0.15
4720,1780,9,0.11
4720,507,3,0.09
4721,1894,5,0.0
4721,817,6,0.04
4721,279,4,0.02
4721,518,8,0.1
4721,40,5,0.12
4721,1029,4,0.19
4721,1792,3,0.05
4721,80,10,0.11
4721,1472,6,0.09
4722,721,7,0.1
4722,517,7,0.13
4722,1236,7,0.04
4722,469,8,0.18
4722,1568,7,0.13
4722,588,10,0.01
4722,1397,4,0.12
4722,1003,1,0.02
4723,216,10,0.04
4723,698,8,0.19
4723,988,4,0.02
4723,700,8,0.11
4723,1683,1,0.05
4723,1890,5,0.14
4723,1655,4,0.08
4724,1900,5,0.16
4725,1886,5,0.18
4725,1025,5,0.11
4725,1772,5,0.07
4725,1623,8,0.01
4725,1175,4,0.12
4726,1988,6,0.13
4726,78,6,0.07
4726,1055,4,0.08
4726,1715,6,0.07
4726,948,4,0.13
4726,1419,3,0.15
4726,1923,5,0.03
4727,1599,5,0.2
4727,1203,3,0.12
4727,1016,8,0.09
4727,619,7,0.14
4727,533,8,0.12
4728,1279,8,0.13
4728,619,8,0.02
4728,258,8,0.17
4728,525,3,0.02
4728,197,4,0.03
4729,906,6,0.05
4729,1972,5,0.13
4729,1602,1,0.11
4729,1097,5,0.04
4729,1158,1,0.04
4729,455,9,0.11
4729,233,7,0.05
4729,1248,6,0.15
4729,1028,4,0.14
4729,1483,2,0.01
4730,1077,9,0.04
4730,1897,2,0.09
4730,1565,8,0.04
4730,1642,8,0.03
4730,236,9,0.12
4730,434,7,0.08
4730,1742,10,0.03
4730,1564,5,0.01
4730,539,4,0.09
4731,1585,2,0.1
4731,151,5,0.12
4731,1566,6,0.16
4731,1699,3,0.05
4731,1431,5,0.18
4732,905,10,0.05
4732,1211,5,0.04
4732,639,2,0.07
4732,90,4,0.18
4732,1659,6,0.07
4732,1708,8,0.01
4733,1993,6,0.12
4733,343,7,0.14
4734,836,10,0.15
4734,1348,3,0.13
4734,1708,6,0.19
4734,716,1,0.18
4734,287,8,0.08
4734,1083,9,0.17
4734,1107,8,0.11
4735,220,3,0.08
4735,1520,4,0.16
4735,1602,4,0.13
4735,1244,1,0.02
4736,770,7,0.16
4736,749,4,0.05
4736,1761,6,0.02
4736,603,4,0.04
4736,300,9,0.17
4736,1458,4,0.05
4736,1259,1,0.15
4736,176,4,0.17
4736,1244,6,0.15
4737,1822,2,0.16
4737,614,2,0.14
4737,1412,7,0.14
4737,1510,1,0.16
4737,44,10,0.16
4737,419,1,0.1
4737,1158,9,0.05
4737,983,6,0.08
4737,75,6,0.18
4738,241,10,0.18
4738,1334,5,0.01
4738,1724,6,0.14
4738,390,3,0.08
4738,1076,1,0.11
4738,1701,4,0.06
4738,1221,5,0.12
4738,298,2,0.09
4738,1172,6,0.01
4739,792,7,0.1
4739,1409,4,0.19
4739,407,3,0.07
4739,1139,1,0.17
4739,1981,9,0.01
4739,620,5,0.03
4739,1283,10,0.04
4739,461,9,0.16
4739,292,4,0.17
4740,315,7,0.16
4740,994,2,0.06
4741,1959,10,0.0
4741,509,10,0.19
4741,1375,10,0.17
4741,996,2,0.14
4741,1501,5,0.17
4742,1085,1,0.01
4742,831,5,0.01
4742,1298,10,0.19
4742,537,9,0.13
4742,1256,7,0.08
4742,760,10,0.07
4742,1542,4,0.02
4742,1048,9,0.19
4743,431,7,0.14
4743,382,10,0.14
4743,1701,3,0.14
4743,1790,3,0.01
4744,1395,8,0.01
4744,598,10,0.09
4744,688,9,0.08
4745,1014,5,0.02
4745,33,3,0.1
4745,1114,3,0.06
4745,1961,9,0.06
4746,1460,6,0.04
4746,1384,3,0.19
4746,1279,8,0.04
4746,420,5,0.06
4746,1760,10,0.0
4746,1018,4,0.09
4746,782,3,0.11
4747,1960,3,0.18
4747,27,1,0.14
4747,1138,1,0.02
4747,501,9,0.04
4747,1778,9,0.01
4747,306,6,0.02
4747,495,5,0.06
4748,1426,7,0.04
4748,489,7,0.0
4748,1644,1,0.1
4748,861,7,0.16
4748,276,2,0.13
4748,1363,7,0.09
4749,1442,10,0.11
4749,317,1,0.08
4749,362,8,0.01
4750,569,7,0.09
4751,1040,8,0.11
4751,49,1,0.15
4751,1414,6,0.06
4751,1297,6,0.01
4751,658,6,0.18
4752,888,2,0.18
4752,507,3,0.01
4752,1144,8,0.11
4752,1192,9,0.17
4752,724,7,0.11
4752,849,6,0.06
4752,659,8,0.09
4752,747,5,0.19
4753,1908,7,0.13
4753,389,5,0.11
4753,394,7,0.04
4753,558,3,0.13
4753,1091,2,0.06
4753,511,5,0.15
4754,517,3,0.08
4754,648,6,0.0
4754,1057,3,0.06
4754,788,8,0.2
4754,1573,8,0.16
4754,198,10,0.13
4754,126,6,0.03
4754,1479,4,0.13
4755,632,7,0.05
4756,847,9,0.17
4756,1108,1,0.16
4756,1439,4,0.05
4757,1557,9,0.12
4757,1450,2,0.02
4757,406,7,0.05
4757,1759,8,0.17
4757,363,5,0.11
4758,727,6,0.11
4758,959,10,0.14
4758,728,10,0.18
4758,243,7,0.11
4758,1330,4,0.16
4758,778,6,0.11
4758,848,9,0.13
4758,1745,9,0.11
4758,1512,2,0.07
4759,1652,1,0.01
4759,1047,9,0.18
4759,580,8,0.12
4759,1195,7,0.0
4760,153,3,0.03
4760,1908,4,0.09
4760,1887,8,0.14
4760,675,7,0.1
4760,1944,10,0.03
4760,1818,8,0.18
4761,1174,2,0.15
4762,906,7,0.02
4762,362,5,0.11
4762,1286,7,0.11
4762,1866,5,0.14
4762,591,1,0.19
4762,741,10,0.12
4763,1737,10,0.07
4763,294,6,0.01
4763,1373,4,0.04
4763,970,2,0.05
4763,139,4,0.01
4763,1133,1,0.17
4763,1716,4,0.03
4764,1108,2,0.19
4765,1784,7,0.07
4765,498,2,0.0
4765,1253,5,0.03
4766,617,9,0.16
4766,1167,10,0.17
4766,681,3,0.03
4767,1599,5,0.03
4767,385,8,0.01
4767,105,8,0.08
4768,295,3,0.15
4768,1411,7,0.16
4768,1703,7,0.18
4768,348,4,0.19
4768,867,4,0.01
4768,1577,7,0.17
4768,1918,8,0.15
4768,1282,5,0.09
4769,1966,3,0.13
4769,924,4,0.03
4769,276,10,0.13
4769,1362,5,0.09
4769,105,4,0.07
4769,929,8,0.08
4770,549,8,0.08
4770,1952,6,0.16
4770,76,10,0.08
4770,1549,9,0.12
4770,1408,3,0.09
4770,1615,5,0.02
4770,1465,9,0.08
4771,987,10,0.07
4771,1028,5,0.19
4771,29,7,0.17
4771,1531,3,0.13
4771,178,5,0.09
4772,896,5,0.08
4772,1134,5,0.08
4772,1378,2,0.19
4772,1770,4,0.11
4772,1247,9,0.06
4772,1092,8,0.09
4772,644,6,0.19
4772,74,4,0.12
4773,146,6,0.13
4773,118,6,0.03
4773,507,4,0.15
4773,1895,10,0.1
4773,239,3,0.16
4773,1150,9,0.2
4773,966,8,0.04
4774,236,8,0.16
4774,1769,6,0.18
4775,1015,7,0.15
4775,66,4,0.08
4776,27,8,0.18
4776,620,8,0.05
4776,1356,7,0.12
4776,1565,3,0.02
4776,1782,4,0.05
4776,952,4,0.03
4776,482,8,0.16
4776,944,9,0.18
4776,1040,4,0.02
4776,1689,8,0.05
4777,771,4,0.17
4777,790,4,0.02
4777,1196,6,0.1
4777,625,5,0.18
4777,1537,9,0.17
4777,424,10,0.06
4777,546,3,0.07
4778,1917,10,0.17
4778,1755,1,0.01
4779,783,4,0.11
4779,1605,9,0.17
4779,1399,9,0.16
4779,1074,9,0.1
4779,30,10,0.09
4779,912,3,0.07
4779,1312,6,0.05
4779,1001,2,0.09
4779,1734,9,0.19
4779,763,8,0.05
4780,1891,1,0.06
4780,21,3,0.08
4780,313,7,0.02
4780,338,3,0.18
4781,1107,9,0.1
4781,161,2,0.07
4781,722,6,0.14
4782,1313,8,0.13
4782,206,1,0.16
4782,1600,10,0.17
4782,1820,1,0.17
4783,1926,2,0.19
4783,1434,3,0.03
4783,485,7,0.04
4783,526,1,0.15
4783,1636,6,0.14
4783,233,5,0.15
4783,197,6,0.02
4783,1138,1,0.15
4783,788,7,0.18
4784,141,1,0.19
4784,1109,4,0.08
4784,886,5,0.19
4784,855,9,0.05
4784,1760,7,0.12
4784,1974,10,0.1
4784,1046,2,0.1
4785,1208,9,0.03
4785,1724,1,0.13
4785,234,7,0.15
4785,664,9,0.06
4785,1837,4,0.11
4785,1010,3,0.08
4785,1265,2,0.09
4785,966,4,0.02
4786,1923,2,0.04
4786,779,4,0.06
4786,602,9,0.18
4787,1984,2,0.12
4788,1523,4,0.01
4788,1525,2,0.06
4788,735,9,0.11
4788,277,9,0.15
4788,1307,3,0.0
4788,517,1,0.04
4788,1298,10,0.02
4788,1398,1,0.02
4788,1945,3,0.03
4788,656,7,0.13
4789,1470,5,0.19
